effect,term,estimate,std.error,statistic,p.value,sig
fixed,age_dev:language_dev,-2.157628951,0.880454414,-2.450585648,0.014262403,TRUE
fixed,age_dev:viewpoint_dev,0.403931119,0.505565081,0.798969578,0.424308052,FALSE
fixed,language_dev:viewpoint_dev,0.548241286,0.505658436,1.084212676,0.278270513,FALSE
fixed,age_dev:language_dev:viewpoint_dev,0.56883743,1.011456797,0.562394194,0.573847474,FALSE
fixed,(Intercept),-1.924066949,0.219155901,-8.779443962,1.64E-18,TRUE
fixed,age_dev,1.509719905,0.426427376,3.540391612,0.000399534,TRUE
fixed,language_dev,1.127747645,0.427221456,2.63972614,0.008297305,TRUE
fixed,viewpoint_dev,-0.328887673,0.35574004,-0.924516883,0.355217266,FALSE
fixed,age_dev:language_dev,-2.225935538,0.852034829,-2.612493599,0.008988438,TRUE
fixed,age_dev:viewpoint_dev,1.047202229,0.7115845,1.471648454,0.141115834,FALSE
fixed,language_dev:viewpoint_dev,0.588599716,0.711471113,0.827299529,0.408067311,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-0.344413619,1.42296328,-0.24203971,0.808749394,FALSE
fixed,(Intercept),-1.605415956,0.187217383,-8.575143687,9.90E-18,TRUE
fixed,age_dev,1.066508528,0.366700199,2.908393646,0.003632907,TRUE
fixed,language_dev,1.013356535,0.366410482,2.765631946,0.005681262,TRUE
fixed,viewpoint_dev,0.40253421,0.313852666,1.282557879,0.199647015,FALSE
fixed,age_dev:language_dev,-2.031186096,0.732843589,-2.771650223,0.005577293,TRUE
fixed,age_dev:viewpoint_dev,-0.258642921,0.627765021,-0.412005946,0.680335065,FALSE
fixed,language_dev:viewpoint_dev,-0.657773307,0.62768593,-1.047933809,0.294669104,FALSE
fixed,age_dev:language_dev:viewpoint_dev,3.015019786,1.255979035,2.400533529,0.016371191,TRUE
fixed,(Intercept),-1.560815609,0.15227689,-10.24985213,1.19E-24,TRUE
fixed,age_dev,0.498628974,0.292038,1.707411274,0.087745636,FALSE
fixed,language_dev,0.105159224,0.292060097,0.360060224,0.718802097,FALSE
fixed,viewpoint_dev,-0.430428691,0.227792366,-1.889565918,0.058816039,FALSE
fixed,age_dev:language_dev,-1.057783558,0.584458763,-1.809851479,0.070318822,FALSE
fixed,age_dev:viewpoint_dev,1.331299048,0.455981523,2.919633759,0.00350443,TRUE
fixed,language_dev:viewpoint_dev,-0.350894062,0.455609775,-0.770163596,0.441202856,FALSE
fixed,age_dev:language_dev:viewpoint_dev,0.30776214,0.911027135,0.337818851,0.735499703,FALSE
fixed,(Intercept),-1.970153387,0.2282388,-8.631982763,6.03E-18,TRUE
fixed,age_dev,1.534417635,0.438330996,3.500591217,0.000464227,TRUE
fixed,language_dev,0.980343898,0.433545849,2.261223119,0.023745444,TRUE
fixed,viewpoint_dev,-0.061873982,0.3423456,-0.180735437,0.856575242,FALSE
fixed,age_dev:language_dev,-2.235569995,0.870146859,-2.569186995,0.010193743,TRUE
fixed,age_dev:viewpoint_dev,0.443340887,0.684945472,0.647264497,0.517460775,FALSE
fixed,language_dev:viewpoint_dev,-1.039185718,0.68502027,-1.51701455,0.12926301,FALSE
fixed,age_dev:language_dev:viewpoint_dev,2.033388422,1.370168551,1.484042544,0.137797634,FALSE
fixed,(Intercept),-1.569627364,0.160219031,-9.796759792,1.16E-22,TRUE
fixed,age_dev,0.751315036,0.308919467,2.432074104,0.015012635,TRUE
fixed,language_dev,0.428034379,0.308166778,1.388969898,0.164841904,FALSE
fixed,viewpoint_dev,-0.165167603,0.238090022,-0.693719129,0.487858368,FALSE
fixed,age_dev:language_dev,-1.331180991,0.616682314,-2.158617104,0.030879885,TRUE
fixed,age_dev:viewpoint_dev,1.001717051,0.476610161,2.101753451,0.035574879,TRUE
fixed,language_dev:viewpoint_dev,-0.536151455,0.476375743,-1.125480176,0.260385613,FALSE
fixed,age_dev:language_dev:viewpoint_dev,1.273704168,0.953528575,1.335779757,0.181621271,FALSE
fixed,(Intercept),-1.71434537,0.189917484,-9.026790653,1.77E-19,TRUE
fixed,age_dev,0.831080581,0.364092342,2.282609341,0.02245339,TRUE
fixed,language_dev,0.374369668,0.363364584,1.030286617,0.30287548,FALSE
fixed,viewpoint_dev,0.02678317,0.266762609,0.100400764,0.920026163,FALSE
fixed,age_dev:language_dev,-2.38722531,0.727971628,-3.279283448,0.00104071,TRUE
fixed,age_dev:viewpoint_dev,0.900859406,0.533821157,1.687567818,0.091494221,FALSE
fixed,language_dev:viewpoint_dev,0.691753454,0.533557963,1.296491667,0.194806149,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-0.172126629,1.066989982,-0.161319818,0.871841515,FALSE
fixed,(Intercept),-1.745228973,0.170007433,-10.26560391,1.01E-24,TRUE
fixed,age_dev,0.706400728,0.324834333,2.174649215,0.029656413,TRUE
fixed,language_dev,0.524015845,0.325022148,1.612246577,0.106908293,FALSE
fixed,viewpoint_dev,-0.425579187,0.273514483,-1.555965823,0.11971622,FALSE
fixed,age_dev:language_dev,-2.015260776,0.65171465,-3.092244092,0.001986494,TRUE
fixed,age_dev:viewpoint_dev,1.891913167,0.547578491,3.455053837,0.000550183,TRUE
fixed,language_dev:viewpoint_dev,0.179848324,0.547183777,0.328679927,0.742397628,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-0.354028394,1.094044241,-0.323596049,0.746243879,FALSE
fixed,(Intercept),-1.846159234,0.222876393,-8.28333233,1.20E-16,TRUE
